NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-22_20:11:01_daily                       8K      -   104K  -
StoragePool/MonitorScripts@autosnap_2017-07-22_20:11:01_monthly                     8K      -   104K  -
StoragePool/MonitorScripts@autosnap_2017-07-22_20:11:01_hourly                      8K      -   104K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:01:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:01:01_daily                       8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:08:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:08:01_daily                       8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:09:01_daily                       8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:09:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:13:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:13:01_daily                       8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:15:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_00:15:01_daily                      64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_05:05:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_05:07:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_05:09:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_05:11:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_05:13:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_10:02:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_10:03:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_10:06:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_10:10:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_10:13:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:00:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:04:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:08:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:09:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:12:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_15:14:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:00:02_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:01:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:03:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:04:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:05:01_hourly                      8K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:09:01_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-23_20:11:02_hourly                     64K      -   152K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:00:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:03:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:03:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:06:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:09:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:10:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:11:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:13:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_00:15:01_daily                      64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-24_05:00:01_hourly                     64K      -   160K  -
